2022-07-15 19:19:44,463 - utils - INFO - epoch: 6, step: 50, eta: 00:59:58, gen loss: 3.795295238494873, adv_loss: 0, dis loss: 0
2022-07-15 19:22:10,382 - utils - INFO - epoch: 6, step: 100, eta: 00:57:07, gen loss: 3.930985450744629, adv_loss: 0, dis loss: 0
2022-07-15 19:24:36,363 - utils - INFO - epoch: 6, step: 150, eta: 00:54:34, gen loss: 4.950381278991699, adv_loss: 0, dis loss: 0
2022-07-15 19:27:02,197 - utils - INFO - epoch: 6, step: 200, eta: 00:52:03, gen loss: 3.895759105682373, adv_loss: 0, dis loss: 0
2022-07-15 19:29:28,452 - utils - INFO - epoch: 6, step: 250, eta: 00:49:37, gen loss: 4.445113182067871, adv_loss: 0, dis loss: 0
2022-07-15 19:31:54,031 - utils - INFO - epoch: 6, step: 300, eta: 00:47:08, gen loss: 3.843027114868164, adv_loss: 0, dis loss: 0
2022-07-15 19:34:19,758 - utils - INFO - epoch: 6, step: 350, eta: 00:44:40, gen loss: 4.727123737335205, adv_loss: 0, dis loss: 0
2022-07-15 19:36:45,392 - utils - INFO - epoch: 6, step: 400, eta: 00:42:13, gen loss: 3.6726341247558594, adv_loss: 0, dis loss: 0
2022-07-15 19:39:11,215 - utils - INFO - epoch: 6, step: 450, eta: 00:39:46, gen loss: 4.723355293273926, adv_loss: 0, dis loss: 0
2022-07-15 19:41:37,255 - utils - INFO - epoch: 6, step: 500, eta: 00:37:20, gen loss: 3.926971912384033, adv_loss: 0, dis loss: 0
2022-07-15 19:44:02,330 - utils - INFO - epoch: 6, step: 550, eta: 00:34:53, gen loss: 3.6355700492858887, adv_loss: 0, dis loss: 0
2022-07-15 19:46:28,048 - utils - INFO - epoch: 6, step: 600, eta: 00:32:26, gen loss: 5.052413463592529, adv_loss: 0, dis loss: 0
